agegr,province,gndr,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
Бүгд,country,0,446027,429460,430204,428493,431911,423294,437958,445038,434760,443081,454283,484141,483343,493937,506030,517134,524964,595023,606851,595541,600631,626596,638715,658369,683263,721945,730599,682046,659868,647998,678756,686106
Бүгд,country,1,414040,407816,404437,384252,393112,396439,404449,408288,412800,429574,447375,475732,503017,507304,536818,536868,546591,542835,540311,529158,550550,571712,567840,585518,592395,635499,628055,591847,590740,577376,586455,598997
Бүгд,Баян-Өлгий,0,17834,15054,15498,15229,14828,16396,18108,17510,15995,18756,18865,19201,18760,18147,17863,18148,17653,22732,22635,23573,26068,23113,24184,25360,23733,28734,28947,17754,17654,23094,26251,26367
Бүгд,Баян-Өлгий,1,15102,12342,14305,10793,11004,13982,14876,15399,14424,16685,15334,16083,16859,16041,16911,16405,16137,21182,20716,21590,25391,21702,22200,24130,20206,24419,26824,16252,13748,16740,21675,21490
Бүгд,Говь-Алтай,0,13515,13649,14412,15289,15684,16392,17147,16332,16705,15362,15287,15476,15167,15585,15600,13904,13375,15741,15802,13606,15866,14184,13716,13976,14003,14380,15374,13612,10574,12018,11604,9634
Бүгд,Говь-Алтай,1,15358,13987,14630,14376,15629,15626,15494,15909,14177,15098,14991,14834,15451,15248,15690,12426,12092,13591,15183,13782,14575,12610,12946,13480,12399,13955,13254,13541,12852,11928,10307,9465
Бүгд,Завхан,0,21512,20539,22985,22342,23365,23549,22708,21947,19973,19214,19074,19326,17319,18142,18029,18535,17444,15744,20966,19220,21022,18773,18754,15922,17019,17679,17059,15549,16040,16097,15080,18392
Бүгд,Завхан,1,20133,22833,22349,22548,23574,24099,23168,22946,20205,20290,19487,20546,19215,19564,19822,20228,18852,17052,18010,17569,18870,18628,18562,16168,16558,16939,16242,15230,14992,13741,14413,15162
Бүгд,Увс,0,21867,20859,18668,19403,19590,18292,18941,17581,17787,17954,17275,17688,17642,17713,17504,17118,17530,22097,19232,21663,19045,19571,18171,20372,19033,20065,19909,19367,17072,25125,17265,17444
Бүгд,Увс,1,18283,17514,16541,16710,16754,16966,17153,15272,16528,16792,16979,16576,16504,16562,16930,16455,16227,19961,19470,19118,18858,17763,16060,18130,17547,18165,16527,15505,17595,24407,15605,17059
Бүгд,Ховд,0,17189,16214,17993,17989,19378,17602,17494,17760,17496,17404,17148,18095,17942,18176,18708,19027,17612,20884,18197,19821,20335,17951,17660,19667,20877,20941,21484,20117,17572,20949,21747,22170
Бүгд,Ховд,1,16769,17547,16695,16623,19117,15765,16897,16956,16740,16536,17880,17051,17756,18481,18903,18402,17354,19584,17727,18204,16862,15493,15946,16337,19240,18728,18142,20239,15688,18671,18182,17157
Бүгд,Архангай,0,20591,23036,23044,22881,21695,20240,20388,20979,21075,20564,21361,20595,20430,20846,21320,20906,21013,25621,26091,25169,24764,24748,22810,21813,23620,23421,24627,28604,20777,19625,23494,19656
Бүгд,Архангай,1,16934,20733,20794,18313,20051,19621,19121,19096,19454,20456,19768,19790,18950,19286,20339,20389,20521,21710,23327,23993,24819,23560,22523,20521,21010,21787,21639,21298,21139,19804,21696,19915
Бүгд,Баянхонгор,0,16181,17589,17089,19073,19345,19610,18851,18361,18461,18839,16994,18420,19334,19680,20357,20766,21244,20148,19324,17957,20262,19607,20313,21693,23502,22909,23837,18428,22256,14562,23578,23691
Бүгд,Баянхонгор,1,14541,15458,16953,18239,17543,17607,18597,17886,18094,18557,17104,18760,20074,19896,19607,21220,21108,17759,18326,18394,18377,19542,19707,19967,21575,20420,20897,17571,21639,19827,20504,20992
Бүгд,Булган,0,12917,13312,14912,14153,13660,12016,12596,12708,12371,12168,12837,13250,12469,12376,12265,12241,11706,13900,16432,15627,15409,14928,15163,14680,14590,16731,15322,14628,12205,13416,13143,13726
Бүгд,Булган,1,10651,11020,13113,11711,11459,11046,11526,11317,11589,11461,11706,12311,11708,11445,12170,11955,11913,13850,14285,13070,14173,13921,12922,13635,13574,14041,14159,15323,12409,11361,13001,12899
Бүгд,Орхон,0,15034,15004,9245,10335,14572,9524,14316,13767,14332,15088,15417,16504,17359,17118,17347,16874,17341,21217,20003,19355,21511,20567,21362,19572,22310,22169,20965,18413,20129,19813,18586,19082
Бүгд,Орхон,1,15181,16269,8985,10129,15058,9422,14072,14433,14145,15276,15029,17215,17788,18009,18221,17330,17067,20029,17734,17873,20154,18866,18950,19584,20394,19972,19076,17372,16885,16788,16759,14642
Бүгд,Өвөрхангай,0,23875,23848,24171,24584,24483,25209,26083,26779,27234,24942,24395,24386,24223,23816,25003,25265,26095,29201,29274,25582,29149,29453,28399,27238,28772,31860,31162,28626,24322,27903,26649,21415
Бүгд,Өвөрхангай,1,20241,20784,21665,21408,21799,23061,24044,25177,24962,24706,23280,23815,23656,24283,24847,26291,25896,28453,25081,22369,25116,28256,26043,26121,25623,27833,27870,23106,21324,24691,23846,21032
Бүгд,Хөвсгөл,0,23237,24644,25377,23732,23432,23399,23879,25822,24957,25262,25760,26202,26394,26569,27377,28631,28042,29110,30685,27509,31280,31740,27391,28594,31039,32813,33365,29540,27527,28067,25507,30506
Бүгд,Хөвсгөл,1,20899,22667,21632,20453,21090,22139,22973,22419,22642,24006,24959,26155,26139,26290,27194,27731,27601,27833,27721,26452,28684,31226,25290,27897,28612,28765,27774,27836,27879,24509,22853,32617
Бүгд,Говьсүмбэр,0,2702,2399,1989,1738,1555,1544,1911,1984,2058,1969,2258,2309,2221,2330,2024,2227,2277,3436,3110,2836,1930,3031,2863,3222,3223,4028,3850,4222,3868,4132,3244,3129
Бүгд,Говьсүмбэр,1,2369,2052,1710,1568,1435,1369,1800,1830,1798,1787,1904,1805,1816,1967,1873,2125,2060,2650,2673,2729,1503,2528,2223,3096,3016,3683,3618,3836,3628,3732,2450,2740
Бүгд,Дархан-Уул,0,14160,13190,12517,16696,16661,13631,14952,15375,12234,14282,11562,14488,13474,13247,14352,13536,16846,21266,21424,21782,20332,20072,18192,21512,20357,22929,21524,22349,19707,17677,18605,16310
Бүгд,Дархан-Уул,1,15469,14971,14432,13504,13485,14374,12259,13473,10061,11069,12797,14861,14459,13992,14447,15687,17645,19095,17561,18432,17118,16879,18557,18327,17635,19593,17699,20461,18140,15810,15354,14419
Бүгд,Дорноговь,0,10710,9625,9018,9513,8783,9286,8662,9662,9550,9870,10136,10023,10003,9786,10037,10636,10907,13932,16357,11715,13226,14860,15550,14435,16652,17357,16684,17364,15130,15454,14431,17152
Бүгд,Дорноговь,1,9098,8245,8408,8293,7726,8562,8243,8230,8346,9409,9853,9960,10187,10143,9703,9512,9874,11400,12854,9637,10402,13706,13164,12692,14525,16082,14656,15621,14186,12905,12828,14865
Бүгд,Дундговь,0,11789,11177,11380,11809,11538,11674,11647,11815,11709,11987,12239,12529,12194,12163,11629,11734,11442,12374,12428,12297,11791,11172,11126,11152,11281,12244,12205,11829,11140,11932,13308,8334
Бүгд,Дундговь,1,10914,9792,10586,11158,10960,11421,11509,11168,10929,11395,11303,11216,11324,11192,11617,11820,11244,11723,11815,12144,11628,10427,10972,10089,10966,11413,12342,11356,11019,11377,11620,9420
Бүгд,Өмнөговь,0,9767,9201,8449,8821,8852,9018,10030,10338,10417,11343,10490,10567,10634,10911,10883,11239,10420,13871,14485,15258,11372,13401,16505,15484,15609,15709,16795,16934,15534,16122,17682,18721
Бүгд,Өмнөговь,1,8593,8820,7927,8344,8457,8701,9700,10305,10364,11159,10494,10321,10522,11233,10816,11270,10184,13464,13196,13661,10080,12069,13809,13561,12761,14583,15224,15539,14642,13217,13829,16187
Бүгд,Сэлэнгэ,0,19199,15670,16823,15408,15674,16142,17003,18933,17281,18021,18252,19587,18955,19066,19845,19477,19033,26743,25181,24637,21785,22690,20130,20518,21314,25066,26370,21009,15127,14731,11927,11499
Бүгд,Сэлэнгэ,1,16884,13279,13529,12828,12478,13374,13530,14137,14948,15718,17565,17695,17587,17070,18626,19344,20196,23306,21942,21097,19281,20103,15793,16891,18842,21474,22235,16690,13522,14134,11445,8668
