agegr,province,gndr,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023
all,country,0,446027,429460,430204,428493,431911,423294,437958,445038,434760,443081,454283,484141,483343,493937,506030,517134,524964,595023,606851,595541,600631,626596,638715,658369,683263,721945,730599,682046,659868,647998,678756,686106
all,country,1,414040,407816,404437,384252,393112,396439,404449,408288,412800,429574,447375,475732,503017,507304,536818,536868,546591,542835,540311,529158,550550,571712,567840,585518,592395,635499,628055,591847,590740,577376,586455,598997
20-24,country,0,,,,,,,,,,,,,,,,,,78315,74477,67769,69906,69249,65999,63010,62785,60251,62034,55597,55368,48863,52133,58515
20-24,country,1,,,,,,,,,,,,,,,,,,63854,56770,51858,51236,54919,47294,46899,40469,40504,44178,38231,40572,34683,39461,29507
25-29,country,0,,,,,,,,,,,,,,,,,,81521,87449,84692,92494,94308,98443,95692,102189,102435,97263,92047,90516,84905,79496,69366
25-29,country,1,,,,,,,,,,,,,,,,,,64569,72591,67608,77680,83147,80496,76645,83839,84669,76392,70916,72876,63987,63665,65139
30-34,country,0,,,,,,,,,,,,,,,,,,80131,86105,80139,85536,94877,92404,98896,104481,111312,117225,102083,107494,109761,110579,107638
30-34,country,1,,,,,,,,,,,,,,,,,,76206,76411,75799,76570,80111,82195,87474,88226,96039,93291,94722,89616,94026,89610,91345
35-39,country,0,,,,,,,,,,,,,,,,,,89453,88820,89275,85921,92066,102558,103858,103200,105165,104876,102290,99296,111517,111683,112231
35-39,country,1,,,,,,,,,,,,,,,,,,89255,89535,88341,88411,91051,96810,97980,95570,98069,95963,90909,89774,98034,93100,90202
