"Статистик үзүүлэлт","Аймаг","Хүйс","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Бүгд","Улсын дүн","Эрэгтэй","446,027","429,460","430,204","428,493","431,911","423,294","437,958","445,038","434,760","443,081","454,283","484,141","483,343","493,937","506,030","517,134","524,964","595,023","606,851","595,541","600,631","626,596","638,715","658,369","683,263","721,945","730,599","682,046","659,868","647,998","678,756","686,106"
"Бүгд","Улсын дүн","Эмэгтэй","414,040","407,816","404,437","384,252","393,112","396,439","404,449","408,288","412,800","429,574","447,375","475,732","503,017","507,304","536,818","536,868","546,591","542,835","540,311","529,158","550,550","571,712","567,840","585,518","592,395","635,499","628,055","591,847","590,740","577,376","586,455","598,997"
"Бүгд","Баян-Өлгий","Эрэгтэй","17,834","15,054","15,498","15,229","14,828","16,396","18,108","17,510","15,995","18,756","18,865","19,201","18,760","18,147","17,863","18,148","17,653","22,732","22,635","23,573","26,068","23,113","24,184","25,360","23,733","28,734","28,947","17,754","17,654","23,094","26,251","26,367"
"Бүгд","Баян-Өлгий","Эмэгтэй","15,102","12,342","14,305","10,793","11,004","13,982","14,876","15,399","14,424","16,685","15,334","16,083","16,859","16,041","16,911","16,405","16,137","21,182","20,716","21,590","25,391","21,702","22,200","24,130","20,206","24,419","26,824","16,252","13,748","16,740","21,675","21,490"
"Бүгд","Говь-Алтай","Эрэгтэй","13,515","13,649","14,412","15,289","15,684","16,392","17,147","16,332","16,705","15,362","15,287","15,476","15,167","15,585","15,600","13,904","13,375","15,741","15,802","13,606","15,866","14,184","13,716","13,976","14,003","14,380","15,374","13,612","10,574","12,018","11,604","9,634"
"Бүгд","Говь-Алтай","Эмэгтэй","15,358","13,987","14,630","14,376","15,629","15,626","15,494","15,909","14,177","15,098","14,991","14,834","15,451","15,248","15,690","12,426","12,092","13,591","15,183","13,782","14,575","12,610","12,946","13,480","12,399","13,955","13,254","13,541","12,852","11,928","10,307","9,465"
"Бүгд","Завхан","Эрэгтэй","21,512","20,539","22,985","22,342","23,365","23,549","22,708","21,947","19,973","19,214","19,074","19,326","17,319","18,142","18,029","18,535","17,444","15,744","20,966","19,220","21,022","18,773","18,754","15,922","17,019","17,679","17,059","15,549","16,040","16,097","15,080","18,392"
"Бүгд","Завхан","Эмэгтэй","20,133","22,833","22,349","22,548","23,574","24,099","23,168","22,946","20,205","20,290","19,487","20,546","19,215","19,564","19,822","20,228","18,852","17,052","18,010","17,569","18,870","18,628","18,562","16,168","16,558","16,939","16,242","15,230","14,992","13,741","14,413","15,162"
"Бүгд","Увс","Эрэгтэй","21,867","20,859","18,668","19,403","19,590","18,292","18,941","17,581","17,787","17,954","17,275","17,688","17,642","17,713","17,504","17,118","17,530","22,097","19,232","21,663","19,045","19,571","18,171","20,372","19,033","20,065","19,909","19,367","17,072","25,125","17,265","17,444"
"Бүгд","Увс","Эмэгтэй","18,283","17,514","16,541","16,710","16,754","16,966","17,153","15,272","16,528","16,792","16,979","16,576","16,504","16,562","16,930","16,455","16,227","19,961","19,470","19,118","18,858","17,763","16,060","18,130","17,547","18,165","16,527","15,505","17,595","24,407","15,605","17,059"
"Бүгд","Ховд","Эрэгтэй","17,189","16,214","17,993","17,989","19,378","17,602","17,494","17,760","17,496","17,404","17,148","18,095","17,942","18,176","18,708","19,027","17,612","20,884","18,197","19,821","20,335","17,951","17,660","19,667","20,877","20,941","21,484","20,117","17,572","20,949","21,747","22,170"
"Бүгд","Ховд","Эмэгтэй","16,769","17,547","16,695","16,623","19,117","15,765","16,897","16,956","16,740","16,536","17,880","17,051","17,756","18,481","18,903","18,402","17,354","19,584","17,727","18,204","16,862","15,493","15,946","16,337","19,240","18,728","18,142","20,239","15,688","18,671","18,182","17,157"
"Бүгд","Архангай","Эрэгтэй","20,591","23,036","23,044","22,881","21,695","20,240","20,388","20,979","21,075","20,564","21,361","20,595","20,430","20,846","21,320","20,906","21,013","25,621","26,091","25,169","24,764","24,748","22,810","21,813","23,620","23,421","24,627","28,604","20,777","19,625","23,494","19,656"
"Бүгд","Архангай","Эмэгтэй","16,934","20,733","20,794","18,313","20,051","19,621","19,121","19,096","19,454","20,456","19,768","19,790","18,950","19,286","20,339","20,389","20,521","21,710","23,327","23,993","24,819","23,560","22,523","20,521","21,010","21,787","21,639","21,298","21,139","19,804","21,696","19,915"
"Бүгд","Баянхонгор","Эрэгтэй","16,181","17,589","17,089","19,073","19,345","19,610","18,851","18,361","18,461","18,839","16,994","18,420","19,334","19,680","20,357","20,766","21,244","20,148","19,324","17,957","20,262","19,607","20,313","21,693","23,502","22,909","23,837","18,428","22,256","14,562","23,578","23,691"
"Бүгд","Баянхонгор","Эмэгтэй","14,541","15,458","16,953","18,239","17,543","17,607","18,597","17,886","18,094","18,557","17,104","18,760","20,074","19,896","19,607","21,220","21,108","17,759","18,326","18,394","18,377","19,542","19,707","19,967","21,575","20,420","20,897","17,571","21,639","19,827","20,504","20,992"
"Бүгд","Булган","Эрэгтэй","12,917","13,312","14,912","14,153","13,660","12,016","12,596","12,708","12,371","12,168","12,837","13,250","12,469","12,376","12,265","12,241","11,706","13,900","16,432","15,627","15,409","14,928","15,163","14,680","14,590","16,731","15,322","14,628","12,205","13,416","13,143","13,726"
"Бүгд","Булган","Эмэгтэй","10,651","11,020","13,113","11,711","11,459","11,046","11,526","11,317","11,589","11,461","11,706","12,311","11,708","11,445","12,170","11,955","11,913","13,850","14,285","13,070","14,173","13,921","12,922","13,635","13,574","14,041","14,159","15,323","12,409","11,361","13,001","12,899"
"Бүгд","Орхон","Эрэгтэй","15,034","15,004","9,245","10,335","14,572","9,524","14,316","13,767","14,332","15,088","15,417","16,504","17,359","17,118","17,347","16,874","17,341","21,217","20,003","19,355","21,511","20,567","21,362","19,572","22,310","22,169","20,965","18,413","20,129","19,813","18,586","19,082"
"Бүгд","Орхон","Эмэгтэй","15,181","16,269","8,985","10,129","15,058","9,422","14,072","14,433","14,145","15,276","15,029","17,215","17,788","18,009","18,221","17,330","17,067","20,029","17,734","17,873","20,154","18,866","18,950","19,584","20,394","19,972","19,076","17,372","16,885","16,788","16,759","14,642"
"Бүгд","Өвөрхангай","Эрэгтэй","23,875","23,848","24,171","24,584","24,483","25,209","26,083","26,779","27,234","24,942","24,395","24,386","24,223","23,816","25,003","25,265","26,095","29,201","29,274","25,582","29,149","29,453","28,399","27,238","28,772","31,860","31,162","28,626","24,322","27,903","26,649","21,415"
"Бүгд","Өвөрхангай","Эмэгтэй","20,241","20,784","21,665","21,408","21,799","23,061","24,044","25,177","24,962","24,706","23,280","23,815","23,656","24,283","24,847","26,291","25,896","28,453","25,081","22,369","25,116","28,256","26,043","26,121","25,623","27,833","27,870","23,106","21,324","24,691","23,846","21,032"
"Бүгд","Хөвсгөл","Эрэгтэй","23,237","24,644","25,377","23,732","23,432","23,399","23,879","25,822","24,957","25,262","25,760","26,202","26,394","26,569","27,377","28,631","28,042","29,110","30,685","27,509","31,280","31,740","27,391","28,594","31,039","32,813","33,365","29,540","27,527","28,067","25,507","30,506"
"Бүгд","Хөвсгөл","Эмэгтэй","20,899","22,667","21,632","20,453","21,090","22,139","22,973","22,419","22,642","24,006","24,959","26,155","26,139","26,290","27,194","27,731","27,601","27,833","27,721","26,452","28,684","31,226","25,290","27,897","28,612","28,765","27,774","27,836","27,879","24,509","22,853","32,617"
"Бүгд","Говьсүмбэр","Эрэгтэй","2,702","2,399","1,989","1,738","1,555","1,544","1,911","1,984","2,058","1,969","2,258","2,309","2,221","2,330","2,024","2,227","2,277","3,436","3,110","2,836","1,930","3,031","2,863","3,222","3,223","4,028","3,850","4,222","3,868","4,132","3,244","3,129"
"Бүгд","Говьсүмбэр","Эмэгтэй","2,369","2,052","1,710","1,568","1,435","1,369","1,800","1,830","1,798","1,787","1,904","1,805","1,816","1,967","1,873","2,125","2,060","2,650","2,673","2,729","1,503","2,528","2,223","3,096","3,016","3,683","3,618","3,836","3,628","3,732","2,450","2,740"
"Бүгд","Дархан-Уул","Эрэгтэй","14,160","13,190","12,517","16,696","16,661","13,631","14,952","15,375","12,234","14,282","11,562","14,488","13,474","13,247","14,352","13,536","16,846","21,266","21,424","21,782","20,332","20,072","18,192","21,512","20,357","22,929","21,524","22,349","19,707","17,677","18,605","16,310"
"Бүгд","Дархан-Уул","Эмэгтэй","15,469","14,971","14,432","13,504","13,485","14,374","12,259","13,473","10,061","11,069","12,797","14,861","14,459","13,992","14,447","15,687","17,645","19,095","17,561","18,432","17,118","16,879","18,557","18,327","17,635","19,593","17,699","20,461","18,140","15,810","15,354","14,419"
"Бүгд","Дорноговь","Эрэгтэй","10,710","9,625","9,018","9,513","8,783","9,286","8,662","9,662","9,550","9,870","10,136","10,023","10,003","9,786","10,037","10,636","10,907","13,932","16,357","11,715","13,226","14,860","15,550","14,435","16,652","17,357","16,684","17,364","15,130","15,454","14,431","17,152"
"Бүгд","Дорноговь","Эмэгтэй","9,098","8,245","8,408","8,293","7,726","8,562","8,243","8,230","8,346","9,409","9,853","9,960","10,187","10,143","9,703","9,512","9,874","11,400","12,854","9,637","10,402","13,706","13,164","12,692","14,525","16,082","14,656","15,621","14,186","12,905","12,828","14,865"
"Бүгд","Дундговь","Эрэгтэй","11,789","11,177","11,380","11,809","11,538","11,674","11,647","11,815","11,709","11,987","12,239","12,529","12,194","12,163","11,629","11,734","11,442","12,374","12,428","12,297","11,791","11,172","11,126","11,152","11,281","12,244","12,205","11,829","11,140","11,932","13,308","8,334"
"Бүгд","Дундговь","Эмэгтэй","10,914","9,792","10,586","11,158","10,960","11,421","11,509","11,168","10,929","11,395","11,303","11,216","11,324","11,192","11,617","11,820","11,244","11,723","11,815","12,144","11,628","10,427","10,972","10,089","10,966","11,413","12,342","11,356","11,019","11,377","11,620","9,420"
"Бүгд","Өмнөговь","Эрэгтэй","9,767","9,201","8,449","8,821","8,852","9,018","10,030","10,338","10,417","11,343","10,490","10,567","10,634","10,911","10,883","11,239","10,420","13,871","14,485","15,258","11,372","13,401","16,505","15,484","15,609","15,709","16,795","16,934","15,534","16,122","17,682","18,721"
"Бүгд","Өмнөговь","Эмэгтэй","8,593","8,820","7,927","8,344","8,457","8,701","9,700","10,305","10,364","11,159","10,494","10,321","10,522","11,233","10,816","11,270","10,184","13,464","13,196","13,661","10,080","12,069","13,809","13,561","12,761","14,583","15,224","15,539","14,642","13,217","13,829","16,187"
"Бүгд","Сэлэнгэ","Эрэгтэй","19,199","15,670","16,823","15,408","15,674","16,142","17,003","18,933","17,281","18,021","18,252","19,587","18,955","19,066","19,845","19,477","19,033","26,743","25,181","24,637","21,785","22,690","20,130","20,518","21,314","25,066","26,370","21,009","15,127","14,731","11,927","11,499"
"Бүгд","Сэлэнгэ","Эмэгтэй","16,884","13,279","13,529","12,828","12,478","13,374","13,530","14,137","14,948","15,718","17,565","17,695","17,587","17,070","18,626","19,344","20,196","23,306","21,942","21,097","19,281","20,103","15,793","16,891","18,842","21,474","22,235","16,690","13,522","14,134","11,445","8,668"
"Бүгд","Төв","Эрэгтэй","21,654","21,593","21,710","19,500","19,715","19,115","19,667","19,683","21,032","21,543","22,105","22,423","21,980","22,225","22,859","23,283","22,584","21,291","22,669","25,704","25,198","23,877","23,893","25,005","25,126","26,492","25,892","21,627","23,425","20,354","20,372","21,269"
"Бүгд","Төв","Эмэгтэй","19,567","19,579","19,004","16,316","17,057","16,506","17,376","17,509","17,845","20,044","20,574","20,890","20,028","21,162","21,559","21,445","20,823","20,975","19,733","22,223","21,738","21,184","20,057","22,249","23,914","23,765","25,100","19,133","20,443","16,021","16,623","18,809"
"Бүгд","Дорнод","Эрэгтэй","16,066","14,606","13,421","14,139","11,893","12,378","9,784","9,441","9,637","9,497","9,897","9,999","9,999","10,548","10,743","10,725","11,384","12,846","14,011","15,729","13,577","15,773","16,005","16,906","17,188","17,259","18,916","18,449","18,318","16,100","14,563","19,410"
"Бүгд","Дорнод","Эмэгтэй","16,704","15,987","13,206","13,615","12,155","12,026","9,899","9,727","9,456","9,851","9,548","9,947","10,072","10,207","10,901","11,553","11,598","11,478","12,198","13,184","14,071","13,273","12,673","14,755","13,869","14,229","13,273","15,079","16,284","15,743","15,700","17,570"
