agegr,province,gndr,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
all,country,0,446027.0,429460.0,430204.0,428493.0,431911.0,423294.0,437958.0,445038.0,434760.0,443081.0,454283.0,484141.0,483343.0,493937.0,506030.0,517134.0,524964.0,595023.0,606851.0,595541.0,600631.0,626596.0,638715.0,658369.0,683263.0,721945.0,730599.0,682046.0,659868.0,647998.0,678756.0,686106.0
all,country,1,414040.0,407816.0,404437.0,384252.0,393112.0,396439.0,404449.0,408288.0,412800.0,429574.0,447375.0,475732.0,503017.0,507304.0,536818.0,536868.0,546591.0,542835.0,540311.0,529158.0,550550.0,571712.0,567840.0,585518.0,592395.0,635499.0,628055.0,591847.0,590740.0,577376.0,586455.0,598997.0
all,capital,0,108287.0,102772.0,103271.0,99183.0,100805.0,103362.0,108929.0,113125.0,108881.0,112679.0,126752.0,145842.0,150270.0,158289.0,165088.0,175736.0,184392.0,205602.0,210726.0,206062.0,205502.0,235181.0,254887.0,267248.0,280210.0,295860.0,303544.0,288873.0,297386.0,275671.0,308221.0,314436.0
all,capital,1,106397.0,102749.0,103183.0,94507.0,92450.0,98741.0,100047.0,103058.0,112770.0,115377.0,132535.0,150066.0,177859.0,180870.0,200456.0,199533.0,213820.0,182386.0,184421.0,176745.0,187828.0,212108.0,221251.0,226855.0,231301.0,257710.0,251806.0,240587.0,254755.0,241235.0,258513.0,262863.0
all,capital,0,108287.0,102772.0,103271.0,99183.0,100805.0,103362.0,108929.0,113125.0,108881.0,112679.0,126752.0,145842.0,150270.0,158289.0,165088.0,175736.0,184392.0,205603.0,210729.0,206059.0,205499.0,235187.0,254887.0,267244.0,280209.0,295859.0,303550.0,,,,308221.0,314436.0
all,capital,1,106397.0,102749.0,103183.0,94507.0,92450.0,98741.0,100047.0,103058.0,112770.0,115377.0,132535.0,150066.0,177859.0,180870.0,200456.0,199533.0,213820.0,182389.0,184420.0,176751.0,187816.0,212106.0,221151.0,226862.0,231300.0,257718.0,251797.0,,,,258513.0,262863.0
20-24,country,0,,,,,,,,,,,,,,,,,,78315.0,74477.0,67769.0,69906.0,69249.0,65999.0,63010.0,62785.0,60251.0,62034.0,55597.0,55368.0,48863.0,52133.0,58515.0
20-24,country,1,,,,,,,,,,,,,,,,,,63854.0,56770.0,51858.0,51236.0,54919.0,47294.0,46899.0,40469.0,40504.0,44178.0,38231.0,40572.0,34683.0,39461.0,29507.0
20-24,capital,0,,,,,,,,,,,,,,,,,,27602.0,24280.0,25280.0,23802.0,27093.0,28124.0,28737.0,27633.0,22772.0,24558.0,27744.0,25732.0,20282.0,24555.0,26674.0
20-24,capital,1,,,,,,,,,,,,,,,,,,19351.0,19059.0,18708.0,19318.0,21867.0,20012.0,21238.0,17386.0,16809.0,20037.0,19055.0,18184.0,14003.0,23424.0,15287.0
20-24,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24555.0,26674.0
20-24,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23424.0,15287.0
25-29,country,0,,,,,,,,,,,,,,,,,,81521.0,87449.0,84692.0,92494.0,94308.0,98443.0,95692.0,102189.0,102435.0,97263.0,92047.0,90516.0,84905.0,79496.0,69366.0
25-29,country,1,,,,,,,,,,,,,,,,,,64569.0,72591.0,67608.0,77680.0,83147.0,80496.0,76645.0,83839.0,84669.0,76392.0,70916.0,72876.0,63987.0,63665.0,65139.0
25-29,capital,0,,,,,,,,,,,,,,,,,,30448.0,36756.0,34075.0,38178.0,41754.0,44077.0,43354.0,48397.0,49058.0,45989.0,41767.0,42411.0,38244.0,34918.0,32816.0
25-29,capital,1,,,,,,,,,,,,,,,,,,23777.0,27675.0,26372.0,30069.0,34261.0,35040.0,32952.0,36589.0,36478.0,32422.0,32263.0,32395.0,32515.0,27520.0,27191.0
25-29,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34918.0,32816.0
25-29,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27520.0,27191.0
30-34,country,0,,,,,,,,,,,,,,,,,,80131.0,86105.0,80139.0,85536.0,94877.0,92404.0,98896.0,104481.0,111312.0,117225.0,102083.0,107494.0,109761.0,110579.0,107638.0
30-34,country,1,,,,,,,,,,,,,,,,,,76206.0,76411.0,75799.0,76570.0,80111.0,82195.0,87474.0,88226.0,96039.0,93291.0,94722.0,89616.0,94026.0,89610.0,91345.0
30-34,capital,0,,,,,,,,,,,,,,,,,,31738.0,33288.0,33084.0,32385.0,38850.0,39129.0,44641.0,45377.0,50528.0,56124.0,50435.0,54597.0,55192.0,56225.0,56026.0
30-34,capital,1,,,,,,,,,,,,,,,,,,29306.0,28349.0,26021.0,27672.0,29692.0,32641.0,33932.0,36504.0,41666.0,42284.0,38053.0,40623.0,38402.0,40837.0,42841.0
30-34,capital,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56225.0,56026.0
30-34,capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40837.0,42841.0
35-39,country,0,,,,,,,,,,,,,,,,,,89453.0,88820.0,89275.0,85921.0,92066.0,102558.0,103858.0,103200.0,105165.0,104876.0,102290.0,99296.0,111517.0,111683.0,112231.0
35-39,country,1,,,,,,,,,,,,,,,,,,89255.0,89535.0,88341.0,88411.0,91051.0,96810.0,97980.0,95570.0,98069.0,95963.0,90909.0,89774.0,98034.0,93100.0,90202.0
